"date","yearBorn","yearDead","Name","description"
"1992-8 - 1","1992","-1","Scarlet Red","actriz pornográfica y modelo erótica estadounidense."
"1993-8 - 1","1993","-1","Mariano Díaz","futbolista dominicano."
"1993-8 - 1","1993","-1","Leon Thomas III","actor, cantante, compositor y productor musical estadounidense."
"1994-8 - 1","1994","-1","Gonçalo Paciência","futbolista portugués."
"1994-8 - 1","1994","-1","Domenico Berardi","futbolista italiano."
"1995-8 - 1","1995","-1","Alessandro Deiola","futbolista italiano."
"1998-8 - 1","1998","-1","Javier Alonso Bello","futbolista español."
"2000-8 - 1","2000","-1","Malin Gut","futbolista suiza."
"2000-8 - 1","2000","-1","Kim Chae-won (cantante)","cantante surcoreana. Fue miembro del grupo IZ*ONE. Actualmente es líder del grupo Le Sserafim."
"2001-8 - 1","2001","-1","Anatoli Trubin","futbolista ucraniano."
"1341-9-1","1341","1377","Federico III de Sicilia","rey siciliano "
"1453-9-1","1453","1515","Gonzalo Fernández de Córdoba","""El Gran Capitán"", militar castellano "
"1526-9-1","1526","1583","Catalina Jagellón","aristócrata polaca, reina de Suecia "
"1529-9-1","1529","1566","Taddeo Zúccaro","pintor italiano "
"1566-9-1","1566","1626","Edward Alleyn","actor inglés "
"1588-9-1","1588","1646","Enrique II de Borbón-Condé","aristócrata francés "
"1651-9-1","1651","1694","Natalia Naryshkina","zarina rusa "
"1653-9-1","1653","1706","Johann Pachelbel","compositor alemán "
"1689-9-1","1689","1751","Kilián Ignác Dientzenhofer","arquitecto checo-alemán "
"1692-9-1","1692","1750","Egid Quirin Asam","escultor alemán "
"1709-9-1","1709","1775","Domingo de Basavilbaso","empresario y político español, fundador del correo en el Río de la Plata "
"1711-9-1","1711","1751","Guillermo IV","aristócrata neerlandés "
"1718-9-1","1718","1798","Antoine de Chézy","ingeniero francés "
"1756-9-1","1756","1814","Miguel José Sanz","abogado, político y periodista venezolano, prócer de la independencia "
"1758-9-1","1758","1834","George Spencer","aristócrata británico "
"1761-9-1","1761","1852","Heinrich Eberhard Gottlob Paulus","teólogo alemán "
"1778-9-1","1778","1884","James Thompson","educador y pastor bautista escocés "
"1795-9-1","1795","1872","James Gordon Bennett","periodista estadounidense, fundador del New York Herald "
"1804-9-1","1804","1831","Mariana Pineda","heroína y símbolo de la aportación española a la lucha por los derechos y libertades en Europa "
"1814-9-1","1814","1906","Ignacio Mejía","militar y político mexicano "
"1835-9-1","1835","1882","William Stanley Jevons","economista británico "
"1838-9-1","1838","1921","Dardo Rocha","abogado y militar argentino, fundador de la ciudad de La Plata "
"1839-9 - 1","1839","-1","Sarah Winchester","esposa del magnate William Wirt Winchester y heredera del 51% de las acciones de la empresa, convirtiéndose en una de las mujeres más ricas del mundo."
"1846-9-1","1846","1892","Carlo Cafiero","anarquista italiano "
"1848-9-1","1848","1931","Auguste-Henri Forel","entomólogo suizo "
"1854-9-1","1854","1921","Engelbert Humperdinck","compositor alemán "
"1855-9-1","1855","1901","Innokienti Ánnienski","poeta ruso "
"1862-9-1","1862","1933","Inazō Nitobe","escritor y diplomático japonés "
"1864-9-1","1864","1916","Roger Casement","diplomático británico, poeta y revolucionario irlandés "
"1865-9-1","1865","1901","Enrique Tornú","cirujano e higienista argentino "
"1875-9-1","1875","1950","Edgar Rice Burroughs","escritor estadounidense, creador de Tarzán "
"1877-9-1","1877","1945","Francis Aston","físico y químico británico, premio nobel de química en 1922 "
"1878-9-1","1878","1968","Tullio Serafin","director de orquesta y músico italiano "
"1886-9-1","1886","1957","Othmar Schoeck","director de orquesta y compositor suizo "
"1886-9-1","1886","1973","Tarsila do Amaral","pintora brasileña "
"1887-9-1","1887","1961","Blaise Cendrars","escritor suizo-francés "
"1892-9-1","1892","1962","Harold Lamb","historiador, novelista y guionista de cine estadounidense "
"1893-9-1","1893","1983","Alfonso Grosso Sánchez","pintor español "
"1893-9-1","1893","1972","Betty Blythe","actriz estadounidense "
"1896-9-1","1896","1977","Bhaktivedanta Swami Prabhupada","religioso indio, fundador del movimiento Hare Krishna "
"1897-9-1","1897","1945","Johan de Haas","escritor y anarquista neerlandés "
"1898-9-1","1898","1976","Richard Arlen","actor estadounidense "
"1900-9-1","1900","1970","José Pedro Cea","futbolista uruguayo "
"1906-9-1","1906","2002","Joaquín Balaguer","político y presidente dominicano "
"1906-9-1","1906","2001","Franz Biebl","compositor alemán "
"1906-9-1","1906","1993","Eleanor Hibbert","escritora británica "
"1907-9-1","1907","1982","Gabriel Sánchez de la Cuesta","médico español "
"1910-9-1","1910","1999","Pierre Bézier","matemático francés "
